Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;final2useful;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];1=Yes/0=No;
Cooling;Food Cooling;Fridge and freezer;FRIDGE;5539.8338;553.98338;1440.356788;20;1;0;1;0.027437125;0.027712875;1.00E+00;
Cooling;AC Cooling;Elec Refrig Cycle;ELEC_REFRIG_CYCLE;27790.62;1190.189;9673.95;20;1;0;1;0;0;1.00E+00;
Cooling;AC Cooling;Thermal Refrig Cycle;TH_REFRIG_CYCLE;17823.52;533.533;22396.66;20;1;0;1;0.354485665;0.358048335;1.00E+00;
Cooling;Industrial Cooling;Industrial Cooler;IND_ELEC_COOLING;6494.542;52.63;1842.05;20;0.95;0;1;0.11845475;0.11964525;1.00E+00;
Electricity;Electricity;Nuclear;NUCLEAR;4845.73;102.930986;707.88;60;0.849;0;1;1.99;2.01;0.00E+00;
Electricity;Electricity;Combined cycle gas turbine;CCGT ;771.99;19.55202588;183.79;25;0.961538462;0;1;6.69203568;6.75929232;0.00E+00;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;771.99;19.55202588;183.79;25;0.961538462;0;1;0;0.00006633;0.00E+00;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.71;29.38376695;331.6;35;0.868;0;1;0;0;0.00E+00;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3245.81;48.42022379;331.6;35;0.856;0;1;0;0;0.00E+00;
Electricity;Electricity;Photovoltaic;PV;870;9.935466867;2081.43;25;1;0;1;0;59.47087199;0.00E+00;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1040;12.096;622.85;30;1;0;1;0;10.05;0.00E+00;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4974.63;34.611;622.85;30;1;0;1;0;6.03;0.00E+00;
Electricity;Electricity;Hydro river;HYDRO_RIVER;5044.92;50.4447982;1262.82;40;1;0;1;0.114425;0.115575;0.00E+00;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7488;139.1104;24929.09;30;0.95;0;1;0;0;0.00E+00;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;2244.574009;144.279127;1632.8928;25;0.85;0;1;5.38603052;5.44016148;1.00E+00;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1722.912966;63.08017645;263.5564732;25;0.85;0;1;0;0.00000201;1.00E+00;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;4667.386991;172.0641595;1032.705223;25;0.85;0;1;0;0.000001005;1.00E+00;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;93.87794536;1.880883862;19.63960412;17;0.95;0;1;0;0.000027135;1.00E+00;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;183.6111691;3.672201826;46.02235155;17;0.9;0;1;3.12623229;3.15765171;1.00E+00;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;87.4536268;1.880883862;19.63960412;17;0.95;0;1;0;0.000027135;1.00E+00;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;183.6111691;3.672201826;76.80488041;17;0.9;0;1;0;0.000013065;1.00E+00;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;183.6111691;3.672201826;46.02235155;17;0.9;0;1;0;0.000013065;1.00E+00;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;529.7910742;2.403351602;2.343361856;15;0.95;0;1;9.724203655;9.821934345;1.00E+00;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;3165.201;107.329424;1604.726426;25;0.95;0;1;1.155518375;1.167131625;1.00E+00;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;11517.3251;336.7420316;4506.711529;25;0.85;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;9922.605838;363.291553;1517.875279;25;0.85;0;1;0;0;1.00E+00;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;26880.43001;990.952455;5947.559206;25;0.85;0;1;0;0;1.00E+00;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN);DHN_COGEN_WET_BIOMASS;12618.57194;1026.957376;9401.223529;25;0.75;0;1;0;0;1.00E+00;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN);DHN_COGEN_BIO_HYDROLYSIS;41652.74515;2035.304472;5947.375588;15;0.85;0;1;0;0;1.00E+00;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;540.6621618;10.83239232;113.1084706;17;0.95;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;1057.454029;21.14895644;265.0520735;17;0.9;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;503.6632059;10.83239232;113.1084706;17;0.95;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;13771.32353;515.9763893;7425.130412;30;0.85;0;1;0;0;1.00E+00;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;3323.479412;3.920109251;2030.994794;30;1;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;4542.935029;189.4164397;1522.405814;18;1;0;1;2.25993952;2.28265248;1.00E+00;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;2914.628343;85.18684189;3526.305129;20;1;0;1;0;0.00000201;1.00E+00;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;13000.13984;835.6368823;9457.400229;20;1;0;1;0;0;1.00E+00;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;12054.04897;739.5682134;9457.400229;20;1;0;1;0;0;1.00E+00;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;66866.93663;1246.151581;20251.8105;20;1;0;1;0;0;1.00E+00;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;66866.93663;1246.151581;20251.8105;20;1;0;1;0;0;1.00E+00;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;1463.777171;43.92069883;194.7209571;17;1;0;1;0;0.000003015;1.00E+00;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;4269.642457;149.3995425;194.7209571;17;1;0;1;0;0.000001005;1.00E+00;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;1314.5742;78.84975854;194.7209571;17;1;0;1;0;0.00000201;1.00E+00;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;6639.070586;73.66227442;2042.492657;20;1;0;1;0;0.000003015;1.00E+00;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;369.1296286;1.613369317;13.5723;15;1;0;1;0;0.00001407;1.00E+00;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;0;30;0.342465753;0;0.3;7.522348255;7.597949745;1.00E+00;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;611.11;30.55555556;0;15;0.296803653;0;1;0;0.00000201;1.00E+00;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;833.33;33.33333333;0;15;0.296803653;0;1;5.786417525;5.844572475;1.00E+00;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;611.11;30.55555556;0;15;0.296803653;0;1;0;0.000001005;1.00E+00;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1041.67;31.25;0;15;0.296803653;0;1;0;0.000001005;1.00E+00;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.35274934;0;40;0.275072894;0;0.5;15.60887246;15.76574555;1.00E+00;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;420.29;24;0;10;0.051369863;0;1;0;0.000001005;1.00E+00;
Mobility;Passenger private;Car diesel;CAR_DIESEL;434.45;24;0;10;0.051369863;0;1;0;0;1.00E+00;
Mobility;Passenger private;Car gas;CAR_NG;429.38;24;0;10;0.051369863;0;1;0;0.000001005;1.00E+00;
Mobility;Passenger private;Car methanol;CAR_METHANOL;420.29;24;0;10;0.051369863;0;1;0;0;1.00E+00;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;429.41;34;0;10;0.051369863;0;1;0;0;1.00E+00;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;456.37;34;0;10;0.051369863;0;1;0.000231835;0.000234165;1.00E+00;
